date,id,totalIn,totalOut2026-03-18 16:57:56,cam1,6,24
2026-03-18 16:58:01,cam1,16,45
2026-03-18 16:58:42,cam1,16,45
2026-03-18 16:58:53,cam2,16,45
2026-03-18 16:59:12,cam2,10,7
2026-03-19 12:57:19,cam1,14,43
2026-03-19 12:58:16,cam1,16,45
2026-03-19 12:58:30,cam1,15,43
2026-03-19 13:00:43,cam1,15,43
2026-03-19 13:12:53,cam1,16,45
03.04.2026T17:14,cam1,11,2
03.04.2026T17:14,cam1,1,5
03.04.2026T17:14,cam1,0,4
03.04.2026T17:14,cam1,1,5
03.04.2026T17:14,cam1,1,5
03.04.2026T17:14,cam1,2,8
03.04.2026T17:14,cam1,2,11
03.04.2026T17:14,cam1,2,4
03.04.2026T17:14,cam1,0,1
03.04.2026T17:20,cam1,11,2
03.04.2026T17:20,cam1,1,5
